	lemma	stavek1	stavek2	oznaka (label)	stavek_1_pomen	stavek_2_pomen	found_lemma
29	velik	Njen pomen je bil tako <target> velik </target>, da so vsi svatje dobili tudi kos za popotnico.	Ko smo leta 2009 fotografirali posamezne kose ženske in moške noše, mi je na moje <target> veliko </target> presenečenje darovala lapice, ki jih še vedno plete, zato da »mine čas« (slika 16).	F	5	6	True
30	velik	MOS smo zelo zadovoljni, saj smo znova dokazali, da MOS upravičeno nosi naziv <target> največjega </target> sejemskega in poslovnega dogodka v Sloveniji.	Veliko pozornosti posvečamo področjem, ki so običajno skrita drugim <target> velikim </target> sponzorjem, njihova dejavnost pa ni povezana z odmevnimi medijski nastopi, na katere se ti radi opirajo.	F	6	5	True
31	velik	Japonsko podjetje Kao, <target> največji </target> izdelovalec disket na svetu, je napovedalo, da namerava zaradi slabe prodaje proizvodnjo zmanjšati za polovico, resno pa razmišljajo tudi, da bi jo sploh opustili.	Še cene: od 1.885.000 SIT za osnovni model, do 2.560.000 SIT pa za model z <target> največjo </target> nosilnostjo in motorjem HDi.	F	4	3	True
32	velik	»Zaradi naših dveh napak na začetku je bila tekma precej bolj izenačena, kot bi bila sicer, zelo pa me veseli, da smo premagali Nemčijo, ki ima s Fabianom Hambüchnom odlično reprezentanco,« je na vedno <target> večjo </target> moč Nemčije opozoril tudi ruski trener Andrej Rodinenko, dobro zavedajoč se, da se lahko njegova ekipa kosa z evropskimi kljub kakšni napaki, na olimpijskih igrah, kjer bodo gotovo najbolje pripravljeni gostitelji Kitajci, Japonci in seveda na največjih tekmovanjih vedno izjemno motivirani Američani, pa to še zdaleč ne bo dovolj za najvišja mesta.	Ženske pa začnejo uporabljati Internet pozneje, vendar z <target> večjo </target> intenzivnostjo kot moški.	F	2	6	True
33	velik	10 <target> največjih </target> (moških) zmot o seksu Ženska ne more zanositi, če moški svoj spolni ud pred orgazmom umakne; oralni seks je edini varen seks; velikost penisa je pomembna - to so le ene največjih zmot o seksu.	Ob podpori grških vazalov je dal zgraditi most čez Bospor, čez katerega je <target> velika </target> perzijska vojska prvič prišla na evropska tla.	F	5	1	True
34	velik	<target> Največja </target> privlačnost vrtne osvetlitve pa je prav v tem, da nam lahko pričara popolno-ma drugačno sliko vrta, kot jo poznamo podnevi.	Turčija mora napredovati v pogajanjih za članstvo; njeno članstvo bo za Evropsko unijo <target> velika </target> strateška in gospodarska pridobitev.	F	2	6	True
35	izdati	Z veljavnim vozniškim dovoljenjem, ki mu ga je <target> izdal </target> pristojni organ druge države članice Evropske unije, pa sme imetnik takega vozniškega dovoljenja voziti v Republiki Sloveniji tista motorna vozila, ki jih sme voziti po veljavnem vozniškem dovoljenju, izdanem v drugi državi članici Evropske unije.	PRAV TAKO NE SMEJO <target> IZDATI </target> ODLOČB, KI BI BILE V NASPROTJU Z ODLOČBO, KI JO NAMERAVA IZDATI KOMISIJA V POSTOPKU, KI GA JE SPROŽILA.	T	8	8	True
36	izdati	Negativno odločbo je kot drugostopni organ <target> izdalo </target> tudi Ministrstvo za notranje zadeve, pri čemer naj bi odločbo oprlo na Uredbo o merilih za ugotavljanje izpolnjevanja določenih pogojev za pridobitev državljanstva Republike Slovenije z naturalizacijo (v nadaljevanju: Uredba).	“Lahko vam <target> izdamo </target> le Zakon določa, da se lahko potrošnik v primeru dobropis ali pa zamenjamo stvarne napake na izdelku odloča med štirimi izdelek z drugim.” zahtevki in izbere tistega, ki mu najbolj ustreza (glej: Kaj pravi zakon?).	F	8	2	True
37	izdati	Štajersiki deželni knez je leta 1543 <target> izdal </target> gorske bukve, pravne predpise za vinogradništvo.	Če verjamemo besedilu Emilijana Cevca v katalogu Začetki slovenskega impresionizma, ki ga je leta 1955 <target> izdala </target> Narodna galerija, so se mladi slikarji predvsem zavedali svojega umetnostnega poslanstva v nasprotju s kruhoborskimi slikarji, ki so se prilagajali meščanskemu okusu, kateremu je Jakopič s tovariši “napovedal boj, kajti šlo mu je za umetnostno iskrenost in ne za ceneno priznanje publike” Emilijan Cevc, Začetki slovenskega impresionizma, Ljubljana, Jakopičev paviljon, 1955, [r. k.], str. 9, 14 (odslej: Cevc, 1955).	F	8	6	True
38	izdati	Gledališka uprava je <target> izdala </target> okusen gledališki list, v katerem seznanja bralce z lanskimi uspehi in s tekočim delom ter nalogami gledališča, tri strani pa so odmerjene tudi Linhartovemu življenju in delu.	Dim bi lahko <target> izdal </target>, kje sta, zato sta šele proti jutru, ko je pričelo pihljati, s suhimi poleni zakurila pod kotlom in stresla vanj ostro smrdečo brozgo.	F	8	3	True
39	izdati	Omar Nasiri Inside the Jihad – My Life with Al Qaeda Moje življenje v Al Kaidi – Zgodba iz prve roke Prevod Tone Perčič ISBN 978-961-02-0031-4 © za Slovenijo DZS, d. d., 2008 <target> Izdala </target> in založila: DZS, založništvo in trgovina, d. d.	O začetku postopka revizije mora revizijski organ takoj obvestiti podjetje in Agencijo, ki do zaključka revizijskega postopka ne sme <target> izdati </target> soglasja h programu preoblikovanja po 19. členu tega zakona in ne soglasja k preoblikovanju po 20. členu tega zakona.	F	6	8	True
40	izdati	J. res ne upa <target> izdati </target> vseh tistih državnih skrivnosti, da bi opral svoje ime? quote]	Prevzemna družba mora imetnikom zamenljivih obveznic, dividendnih obveznic in imetnikom potrdil o posebnih dividendnih pravicah, ki so jih <target> izdale </target> prevzete družbe, zagotoviti enake pravice, kot jih je zagotavljala prevzeta družba.	F	3	8	True
41	izdati	- posredovanje podatkov o pripustih Republiški selekcijski službi v konjereji, Inštitutu za rejo in zdravstveno varstvo kopitarjev (Mestni log 47, 1000 Ljubljana), ki je v skladu s predpisom o sprejetju kopitarjev za pleme <target> izdala </target> zootehniški dokument o priznavanju plemenskega žrebca, in pristojni veterinarski organizaciji.	(2) Senat ustavi s sklepom postopek v primerih, v katerih <target> izda </target> sodišče po 2., 3. ali 4. točki 357. člena tega zakona sodbo, s katero obtožbo zavrne ali s katero obtoženca oprosti obtožbe (358. člen) kakor tudi, kadar spozna, da ne bi bilo smotrno izreči mladoletniku niti kazni niti vzgojnega ukrepa.	T	8	8	True
42	lahko	Do sedaj so znanstveniki le domnevali, da bi <target> lahko </target> v kraterjih okoli Luninih polov obstajal led, sedaj pa so odkrili kar vodo, morda še večje odkritje pa je, da ta še vedno nastaja.	Pravzaprav niti ni mogla zagotovo vedeti, ali je bila res sestra <target> lahko </target> bi bil namreč tudi brat ampak zanjo je bila kratko in malo sestra, ki so jo neke noči v zgodnjih petdesetih letih proti materini volji iztrgali iz njenega trebuha.	T	2	2	True
43	lahko	Veliko popotniških informacij in namigov za obisk zanimivosti <target> lahko </target> najdemo v vodičih, kot so Lonely Planet, Rough Guide ali Blue Guide.	Z ratifikacijo Konvencije o pravicah invalidov aprila 2008 je Slovenija jasno izkazala zavezo, da bo razvijala politike in predpise, na podlagi katerih bodo <target> lahko </target> invalidi dejansko enakopravno uveljavljali svoje človekove pravice in svoboščine.	T	4	4	True
44	lahko	Veseli nas, da <target> lahko </target> potrdimo tudi dva slovenska filma, magični intimni portret Nočni pogovori z Mojco Vlada Škafarja in Polka & klobase, ki ga je o slovenski polki v ZDA posnel še en (nekdanji) panker, Dušan Moravec.	Pri ostalih je še potreben razvoj, pri čemer bi veljalo ta razvoj spodbuditi s strožjimi merili oziroma standardi; veljavni NEDC testni cikel bi bilo treba namreč razširiti z bolj življenjskimi, na vozniškem vsakdanu temelječimi merili, saj <target> lahko </target> pride do velikih razlik pri merjenju čistosti izpušnih plinov.	F	4	1	True
45	lahko	Nekatere oblike neprimernega vedenja <target> lahko </target> uredimo hitro in mirno, na primer s telesno bližino (če se preprosto približate), z ne-pretečim pogledom ali s humorjem.	Pričakujejo, tudi od Slovenije, samo eno stvar - da jih Slovenija, kako bi rekel, <target> lažje </target> razume.	F	1	8	True
46	lahko	Končno <target> lahko </target> motnje vedenja vodijo do resnih psihičnih obolenj, v najslabšem primeru do delinkvence in bolezni odvisnosti.	Opoldan, če je vreme sončno, <target> lahko </target> prostor za nekaj minut tudi prezračimo.	F	1	4	True
47	lahko	PREDNOST PRIKAZOVANJA Z GRAFIKONOM JE, DA JE POSREDOVANA INFORMACIJA BOLJ NAZORNA IN <target> LAŽJE </target> PREDSTAVLJIVA.	Čeprav ste zadovoljni z obliko in oblinami svojega telesa, vam <target> lahko </target> drobne podrobnosti, kot so recimo drobne razširjene žilice na stegnih, na kolenu ali pod njim ali pa trdovratna poraščenost, zagrenijo misel na kratka poletna oblačila.	F	5	1	True
48	lahko	<target> Lahko </target> se je zgodilo, da sta bila v njem hkrati po dva otroka.	Zakoni vesolja so vedenja, s katerimi uskladimo telo in duha ter preidemo v stanje, ko <target> lahko </target> dosežemo vse, kar si želimo.	F	6	8	True
49	sam	hahaha marca dej pojejte se, zame sodi Skomina v <target> sam </target> vrh sodnikov	Zato bom jaz seveda glasoval za amandma, čeprav bi se mogoče dalo rešiti tudi na ta način, da bi se za <target> sam </target> sklad posebej zagotovila sredstva.	F	5	7	True
50	sam	Za preprečevanje in ugotavljanje kožnega raka je izjemnega pomena ozaveščenost prebivalstva, saj lahko ob primernem znanju vsak <target> sam </target> enkrat na mesec pregleda svoja kožna znamenja in se napoti k zdravniku, če opazi kakršno koli sumljivo spremembo.	V tujini nas vidijo precej bolje, kot se vidimo mi <target> sami </target>.	F	3	7	True
51	sam	Rekel sem mu, da bi precej raje videl, če bi mi to <target> sama </target> povedala.	BOUTIQUE PRESS Hudo pa me je s svojo izpovedno pesmijo (besedilo je napisala <target> sama </target>!) razočarala Rebeka Dremelj.	T	3	3	True
52	sam	K tem razmišljanjem pa je dodal pripombo še urednik (Novice so mu namreč očitale, da tako ali tako vse članke le povzema iz drugih nemških časnikov), da bo »koščku papirja imenovanem 'Novice' odgovoril tudi <target> sam </target>«3.	Ker ste nekaj naključno izbranih fotografij vsak mesec lahko občudovali tudi <target> sami </target>, dragi bralci, si najbrž lahko predstavljate, da delo ni bilo lahko.	T			True
53	sam	Zaradi nenehnih nasprotij v zahtevah glasov je počasi dognal, da so glasovi prav tako zmedeni kakor on <target> sam </target>.	Če trema ni premočna jo z razumevanjem <target> sami </target> lahko omilimo in delno odpravimo.	F			True
54	sam	Terezijina “mala pot” pa je, kot <target> sama </target> pravi, pot duhovnega otroštva, pot zaupanja in popolne vdanosti.	Zato sem jim svetoval, naj plezajo na levo, <target> sam </target> pa se iz kljubovalnosti nisem hotel umakniti, dasi bi bil to še lahko storil.	F			True
55	sam	Je pa dejstvo in kot eden od teh, ki so doživeli rubež na domu , napišem, da si ej vsak <target> sam </target> kriv če pride rubežnik na dom.	Če pa ne poznaš <target> samega </target> sebe in svoje kulture, potem sprejemaš drugo kulturo zelo nekritično in eksotično ali pa ji nasprotuješ.	F			True
56	star	Natočil sem si rumeno pijačo, po okusu podobno vinu ni bila slaba, imela je okus po <target> stari </target> rozoliji, zagotovo pa je bila alkoholna.	S spodbudo svoje žene se odloči, da se bo s svojim <target> starim </target> motorjem znamke mammuth, po katerem je tudi dobil svoj nadimek, odpravil v kraje svoje mladosti, do obratov, kjer je bil zaposlen, in tako zbral manjkajoče papirje, ki mu bodo omogočili mirna upokojenska leta.	T	6	6	True
57	star	Sama sem bila med <target> staro </target> šaro in pajčevinami in nisem več slišala sester, niti njihovega oddaljenega mrmranja.	A vendar je treba priznati, da Singapur svojim obiskovalcem ponuja zavidljivo mešanico azijskih kultur, čeprav mnogokrat na instanten način, a se ravno zaradi tega tudi <target> starejšim </target>, manj avanturističnim ali bolj občutljivim popotnikom ni treba bati nikakršnega kulturnega šoka.	T	6	6	True
58	star	»Ti si <target> najstarejši </target>, zato boš ti tisti, ki mu bom nekaj naročila, mi lahko obljubiš, da boš naročilo izpolnil?«	To je <target> stara </target> teza italijanskih desničarskih in protislovenskih elementov na krajevni, deželni pa tudi na državni ravni.	F	6	4	True
59	star	Uporabniki teh prevozov so predvsem <target> starejše </target> osebe in v poletnih mesecih otroci, ki v času poletnih počitnic prihajajo na sevniški bazen ali pa so udeleženci košarkarskega kampa, ki je bil v lanskem letu dobro sprejet in lepo obiskan.	Med <target> najstarejše </target> vodnjake štejemo koprske, kot so na Trgu Brolo (kapitelske oblike) iz 15. stoletja.	F	6	4	True
60	star	V Zgornjih Bitnjah je v neposredni bližini avtobusnega postajališča z njene desne strani z dovoza do stanovanjske hiše nenadoma na vozišče pripeljal <target> starejši </target> kolesar, ki svoje namere ni nakazal.	Na <target> stare </target> prehranjevalne tračnice se je potrebno vračati zaradi metabolizma, ki lahko postane leno, in bo učinek ravno nasproten.	F	6	2	True
61	star	Ko se <target> starejša </target> oseba odloči za učenje, ji je to ponavadi v veselje, izziv in že zaradi tega drugače pristopi.	Tako je Petrova domačija ostala prav takšna, kot je bila nekoč; še vedno je pokrita z več kot sto let <target> starimi </target>, povsem ročno narejenimi skodlami, v največji izbi pa stoji stara bela peč, morda še edina v vsej Trenti, ob kateri je nekoč, že davno, ob zimskih dnevih stal kolovrat, na katerem so predli domačo volno.	F	6	4	True
62	star	Slabše se je izšlo za mlado ekipo Sloge iz Občin pri Trstu, ki je po treh polfinalnih tekmah za napredovanje v B-2 ligo morala priznati premoč <target> starejši </target> in predvsem izkušenejši ekipi Vivil iz Vile Vicentine.	Slednji pa je za 61 let <target> starejši </target> od najmlajšega Roka Ropreta iz Trboj.	T	6		True
63	stran	»Le majhen članek na lokalni <target> strani </target> časopisa,« je precej jezno rekel.	Katere storitve so vidne na prvi <target> strani </target> ob vstopu v spletno banko Abanet?	F	7	8	True
64	stran	Če si lahko povsem odkrita z njim, potem to pomeni, da ne čutiš nikakšne nadvlade z njegove <target> strani </target> in da se ne počutiš, kot da on odloča o tvojem notranjem življenju.	Zmanjšanje števila članov senata v KDS je posledica zahtev po racionalizaciji odločanja v teh sporih, po drugi <target> strani </target> pa ureditev, ko je v KDS na prvi stopnji odločal senat petih sodnikov, na drugi stopnji pa senat treh (sicer poklicnih) sodnikov, pravno sistemsko ni sprejemljiva.	F	1		True
65	stran	Informacije o tem, kaj smete in česa ne smete uvažati v posamezno državo oziroma izvažati iz nje, lahko dobite tudi na uradnih turističnih ali carinskih <target> straneh </target> držav, kamor potujete.	Svetujem ti, da se držiš čim dalj <target> stran </target> od njega, dragi moj Dennis.	F	9	3	True
66	stran	Ko sem končal, je bilo vse poscano, drek pa deloma not, deloma ne in Maja je vlekla Simona <target> stran </target>, ker je hotel gledat.	V polje, ki omogoča vnos 35 znakov, vnesite poljubno besedilo, ki bo ob vsakem vstopu v NLB Klik prikazano na vaši vstopni <target> strani </target>, poleg vašega imena in priimka.	F	1	9	True
67	stran	Atlas Vzhodna jadranska obala, otoki in zaledje je obsežna (280 <target> strani </target>) publikacija in prvi tovrstni atlas, ki se ne omejuje v državne meje.	Tukaj se pojavi protislovje, saj je v ZDA po eni <target> strani </target> največ medijev na svetu, če upoštevamo tiskane publikacije ali internet, toda ameriške televizijske mreže upravljajo predvsem FOX, Murdock ter NBC, ki so zelo konzervativne korporacije.	F	7		True
68	stran	Znak plus v zgornjem ročaju za obsekovanje okoli besedila v drugem stolpcu druge <target> strani </target> pomeni, da je to besedilo nadaljevanje besedila iz prejšnjega bloka.	Samo na zahodni <target> strani </target> je osreška planja z asfaltirano cestico po ozkem slemenu povezana s Sv. Vidom, sicer pa se na vse strani z Osredka spuščajo zelo strma, z gostim gozdom porasla in povsem brezpotna pobočja.	F	8		True
69	stran	4. aprila 2001 je Turistično sko skupnostjo in društvi na društvo Kobarid v sodelova- italijanski <target> strani </target>. nju s Fundacijo “Poti miru v Predstavi nam poveljniška Posočju” začelo s čiščenjem in opazovalna mesta, mitrain obnavljanjem muzeja na lješke in topniške položaje, prostem Kolovrat.	Spodaj na zunanji <target> strani </target> dna se slabo vidi vrezan znak x - morda iz Bele Krajine.	T	8	8	True
70	lahek	Sorta ni primerna za <target> lahka </target>, peščena tla, saj v stresnih razmerah močno izrašča in ponovno formira gomolje.	Komisija ni imela <target> lahkega </target> dela, saj so se nasadi precej razlikovali med seboj, kljub temu pa se je strinjala, da je bil najboljši v vseh pogledih nasad Vrtnarstva Antolin, d.o.o iz Dorfarij.	F	5	2	True
71	lahek	Njeni gladilni voski z nežno in <target> lahko </target> teksturo olajšajo nanos, površinski aktivni agent poskrbi za enakomerno razporeditev barve do konic, palmino in jojobino olje pa trepalnice zaščitita in učvrstita.	Večplastna zgodba, pisana v stilu sledenja toku zavesti, ni <target> lahko </target> branje in jo priporočamo predvsem pozornim bralcem, ki iščejo več in uživajo v vragolijah nepredvidljivega literarnega stila.	F	5	1	True
72	lahek	S konico jezika drsite gor in dol po perineju s peresno <target> lahkim </target> pritiskom.	Nedavno je naka mlada mamica rodila na ta način, in njena mati mi je povedala, da je bil porod <target> lahek </target> in da je potekal povsem brez zapletov, da so popadki trajali zelo kratek čas ter da je bil dojenček videti neizmerno srečen.	F	6	2	True
73	lahek	Sistem UMTS, tretjo generacijo mobilnih telekomunikacij, so razvili, da bi uporabniku zagotovili majhen, <target> lahek </target>, standarden žepni komunikator, ki bi nudil storitve kjerkoli in kadarkoli.	Za <target> lažjo </target> nošnjo nahrbtnika potrebujemo široke naramnice in ogrodje, ki naj ne bo širše od naših bokov.	F	9	1	True
