lemma,stavek1,stavek2,oznaka (label),stavek_1_pomen,stavek_2_pomen;;;;;;;;
"aktiven,""Če želimo, da je posameznik aktivnejši, bolj samostojen pri odločanju, če želimo, da prevzema odgovornost za svoje odločitve, potem mu je treba zagotoviti ustrezne pogoje ."",""Zato postani aktivna, delaj trebušnjake, počepe, aerobiko, igraj odbojko - kar ti je pač pri srcu."",F,4,6";;;;;;;;
"aktiven,""• sreda, 2. marca, ob 9.30 v kongresnem centru hotela Habakuk v Mariboru: državni sekretar dr. Igor Jakomin bo nagovoril udeležence logističnega foruma z naslovom Razvojno-raziskovalne prioritete Slovenije na področju transporta, ki ga v okviru projekta CASTLE in v sodelovanju z Ministrstvom za promet prireja Univerza v Mariboru (Center za ekonomijo transporta) z namenom vzpostavitve aktivnega dialoga med gospodarstvom, politiko in razvojno raziskovalnimi organizacijami na področju transporta v Sloveniji"",""Med elemente aktivne varnosti štejemo tiste naprave, dele avtomobila in pripomočke, ki s svojim delovanjem preprečujejo oziroma manjšajo možnost nesreče."",F,7,4";;;;;;;;
aktiven,Pogodba z Razvojnim centrom (TSCT-1/2008)– Študij in pospeševanje aktivnega transporta proteinov skozi biološke membrane.,Odrasli so aktivni v juniju in juliju in imajo včasih drugo generacijo jeseni.,F,8,1;;;;;;;;
"aktiven,""Med vlagateljem in naročnikom je v zadevi spor glede upravičenosti naročnikovega zavrženja vlagateljevega revizijskega zahtevka z dne 17.1.2011, in sicer iz razloga domnevnega neobstoja aktivne legitimacije vlagatelja za njegovo vložitev."",""Gre za prepovedano drogo psilocibin, aktivno substanco v gobi, ki jo določene skupine že stoletja uporabljajo pri svojih verskih obredih."",F,opomba: ni ustreznega pomena v Elexisu,4";;;;;;;;
"igrati,""p.s.v kratkem se bo začelo SP divizije A,vsi igralci ki bodo v tem času igrali play off v NHL,se ne bodo udeležili SP.....verjemi mi!!!!"",Najbolj ironična pa je izjava Mourinha po tekmi: Igrali smo proti golmanu in desetim branilcem.,T,2,2";;;;;;;;
"igrati,""Čustveni izsiljevalci ne marajo izgubljati – pregovor »pomembno je sodelovati, ne zmagati,« se pri njih spremeni v »pomembna je le zmaga« – ne glede na to, kako igraš«."",""Gre za kratko, dinamično in razgibano postavitev znanih pastirčkovih zgodb, v kateri se trije mestni (ali vaški) otroci igrajo Kekca."",F,2,1";;;;;;;;
"igrati,""Če v tej veliki predstavi igrajo tudi semenčice, imajo zdaj možnost, da v fitnesu materničnega vratu preživijo nekaj dni."",""Pohvalil se je, da je igral v Kreftovi igri Poročnik in Marjutka v nekem manjšem dunajskem teatru."",F,7,9";;;;;;;;
"igrati,""Merrin Dungey, ki igra Avino prijateljico Susannah, je znana iz kultne Abramsove serije Alias, najstniški zvezdnik Jesse McCartney (Avin nečak Bradin) je v času snemanja izdal svojo prvo pop zgoščenko, Ryan Kwanten (Avin prijatelj Ray) pa je star znanec ljubiteljev žajfastih nadaljevank."",""Ne nazadnje marsikaterega starša veliko bolj skrbi, ali se bo imel njegov otrok popoldan kje igrati, torej ali so v bližini ustrezno urejena in čista otroška igrišča, kot številne novice iz sveta."",F,9,1";;;;;;;;
"igrati,""Angleški nogometni reprezentant David Beckham, ki je odlično igral za AC Milan, se je vendarle znašel na spisku kluba za pokal UEFA."",""Kot drugo glasbilo sem igral klavir in takrat sem moral biti priden, zdaj pa to ni več potrebno."",F,2,8";;;;;;;;
"igrati,""Raje trenirajte in ne igrat 500 pripravljalnih tekm,ker na njih ne boste odkrili tople vode!"",Kakšno vlogo bi po vašem mnenju moral v prihodnje igrati Kučan? se je glasilo vprašanje Slovenskega utripa.,F,2,7";;;;;;;;
"igrati,adam je zelo luskan in zato moram iti gledat ta film adam igra tidi pri o.c.california in zato mi je postal vses,""Sebastijan, ki ta čas igra v Celju, ima namreč že mesec dni dekle, ki je nekaj mlajše od njega, a njenega imena še noče razkriti."",F,9,2";;;;;;;;
"imeti,""»V čaj sem vlil malo ruma, če nimaš nič proti,« se je nasmehnil, ko je predme postavil lično skodelico."",""Vlagatelj navaja, da naročnik nima predpisanega operacijskega sistema, ki bi v tehničnem smislu onemogočal uporabo NET platforme."",F,12,4";;;;;;;;
"imeti,""in potem se čudite, da imamo hildo, zidarja in podobne barabe..."",""Pod vsako fotografijo je bilo napisano ime pokojnika, njegova starost, poklic, če ga je imel, vzrok smrti."",F,1,11";;;;;;;;
"imeti,""ponudnikov bo malo morje.imajo pa vglavnem vsi dolgoročne pogodbe,kar je pri igralcih plus,pri rafi pa minus,saj klub nima denarja za odškodnino.sploh pa je vprašanje,kdo ga lahko nadomesti"",""Tudi Inoks ima svoj oddelek za raziskave in razvoj, saj se podjetje usmerja v razvoj celostnih tehnoloških rešitev od ideje do izvedbe."",F,5,1";;;;;;;;
"imeti,""Jezna, štiri mesece noseča Liz je odgovorila, da ni vlačuga, pa tudi, da ima novega moškega, njegovega imena pa noče izdati."",""Po diplomi na akademiji za likovno umetnost na oddelku za slikarstvo je nadaljeval podiplomski študij grafike. za sabo ima številne samostojne razstave, tudi na našem območju. nazadnje so njegova dela nagovarjala na 7. bienalu slovenske grafike, ki je lani kot ponovno obujeni projekt zaživel v dolenjski prestolnici."",F,9,11";;;;;;;;
"imeti,""Povejte mi vi kot ekonomist, kako si razlagate to, da bi po desetih letih sanacije, če sem prav razumel, imeli negativen kapital."",Tako naj bi imeli dovolj časa za forenzično preiskavo in odstranitev trupla.,F,12,2";;;;;;;;
"imeti,""Tovornjakarjev ni bilo, ker so imeli zaporo-kdo je pa zdaj kriv????"",""54.glej,glede dzamije,ce ces mi pisi na protibalijam@gmail.com, pa ti bom navedel kaj literature,da bos imel vec informacij za kriticno presojo vprasanja."",F,1,2";;;;;;;;
"imeti,""Ker so zvesti in imajo radi otroke, si raki življenjskega sopotnika pogosto izberejo med njimi."",""Posredniška demokracija, kakršno poznamo in imamo, je torej tudi velik posel, posamezne stranke pa delniške družbe, katerih realna uspešnost je povezana tudi s tekočo likvidnostjo njihovih blagajn, izpraznjenih zaradi zadnjih volitev in predvolilne kampanje."",F,3,2";;;;;;;;
"velik,""Trenutno se pogajajo z velikimi glasbenimi založbami, kajti od njih bo odvisno, kakšnega mačka v žaklju je Roxio pravzaprav kupil."",""Kuža ga je v moje veliko presenečenje ubogal, kot bi bila že stara prijatelja."",F,5,6";;;;;;;;
"velik,""Njen pomen je bil tako velik, da so vsi svatje dobili tudi kos za popotnico."",""Ko smo leta 2009 fotografirali posamezne kose ženske in moške noše, mi je na moje veliko presenečenje darovala lapice, ki jih še vedno plete, zato da »mine čas« (slika 16)."",F,5,6";;;;;;;;
"velik,""MOS smo zelo zadovoljni, saj smo znova dokazali, da MOS upravičeno nosi naziv največjega sejemskega in poslovnega dogodka v Sloveniji."",""Veliko pozornosti posvečamo področjem, ki so običajno skrita drugim velikim sponzorjem, njihova dejavnost pa ni povezana z odmevnimi medijski nastopi, na katere se ti radi opirajo."",F,6,5";;;;;;;;
"velik,""Japonsko podjetje Kao, največji izdelovalec disket na svetu, je napovedalo, da namerava zaradi slabe prodaje proizvodnjo zmanjšati za polovico, resno pa razmišljajo tudi, da bi jo sploh opustili."",""Še cene: od 1.885.000 SIT za osnovni model, do 2.560.000 SIT pa za model z največjo nosilnostjo in motorjem HDi."",F,4,3";;;;;;;;
"velik,""»Zaradi naših dveh napak na začetku je bila tekma precej bolj izenačena, kot bi bila sicer, zelo pa me veseli, da smo premagali Nemčijo, ki ima s Fabianom Hambüchnom odlično reprezentanco,« je na vedno večjo moč Nemčije opozoril tudi ruski trener Andrej Rodinenko, dobro zavedajoč se, da se lahko njegova ekipa kosa z evropskimi kljub kakšni napaki, na olimpijskih igrah, kjer bodo gotovo najbolje pripravljeni gostitelji Kitajci, Japonci in seveda na največjih tekmovanjih vedno izjemno motivirani Američani, pa to še zdaleč ne bo dovolj za najvišja mesta."",""Ženske pa začnejo uporabljati Internet pozneje, vendar z večjo intenzivnostjo kot moški."",F,2,6";;;;;;;;
"velik,""10 največjih (moških) zmot o seksu Ženska ne more zanositi, če moški svoj spolni ud pred orgazmom umakne"; oralni seks je edini varen seks;" velikost penisa je pomembna - to so le ene največjih zmot o seksu."",""Ob podpori grških vazalov je dal zgraditi most čez Bospor, čez katerega je velika perzijska vojska prvič prišla na evropska tla."",F,5,1";;;;;;
"velik,""Največja privlačnost vrtne osvetlitve pa je prav v tem, da nam lahko pričara popolno-ma drugačno sliko vrta, kot jo poznamo podnevi."",Turčija mora napredovati v pogajanjih za članstvo"; njeno članstvo bo za Evropsko unijo velika strateška in gospodarska pridobitev.,F,2,6;;;;;;;
"izdati,""Z veljavnim vozniškim dovoljenjem, ki mu ga je izdal pristojni organ druge države članice Evropske unije, pa sme imetnik takega vozniškega dovoljenja voziti v Republiki Sloveniji tista motorna vozila, ki jih sme voziti po veljavnem vozniškem dovoljenju, izdanem v drugi državi članici Evropske unije."",""PRAV TAKO NE SMEJO IZDATI ODLOČB, KI BI BILE V NASPROTJU Z ODLOČBO, KI JO NAMERAVA IZDATI KOMISIJA V POSTOPKU, KI GA JE SPROŽILA."",T,8,8";;;;;;;;
"izdati,""Negativno odločbo je kot drugostopni organ izdalo tudi Ministrstvo za notranje zadeve, pri čemer naj bi odločbo oprlo na Uredbo o merilih za ugotavljanje izpolnjevanja določenih pogojev za pridobitev državljanstva Republike Slovenije z naturalizacijo (v nadaljevanju: Uredba)."",""“Lahko vam izdamo le Zakon določa, da se lahko potrošnik v primeru dobropis ali pa zamenjamo stvarne napake na izdelku odloča med štirimi izdelek z drugim.” zahtevki in izbere tistega, ki mu najbolj ustreza (glej: Kaj pravi zakon?)."",F,8,2";;;;;;;;
"izdati,""Štajersiki deželni knez je leta 1543 izdal gorske bukve, pravne predpise za vinogradništvo."",""Če verjamemo besedilu Emilijana Cevca v katalogu Začetki slovenskega impresionizma, ki ga je leta 1955 izdala Narodna galerija, so se mladi slikarji predvsem zavedali svojega umetnostnega poslanstva v nasprotju s kruhoborskimi slikarji, ki so se prilagajali meščanskemu okusu, kateremu je Jakopič s tovariši “napovedal boj, kajti šlo mu je za umetnostno iskrenost in ne za ceneno priznanje publike” Emilijan Cevc, Začetki slovenskega impresionizma, Ljubljana, Jakopičev paviljon, 1955, [r. k.], str. 9, 14 (odslej: Cevc, 1955)."",F,8,6";;;;;;;;
"izdati,""Gledališka uprava je izdala okusen gledališki list, v katerem seznanja bralce z lanskimi uspehi in s tekočim delom ter nalogami gledališča, tri strani pa so odmerjene tudi Linhartovemu življenju in delu."",""Dim bi lahko izdal, kje sta, zato sta šele proti jutru, ko je pričelo pihljati, s suhimi poleni zakurila pod kotlom in stresla vanj ostro smrdečo brozgo."",F,8,3";;;;;;;;
"izdati,""Omar Nasiri Inside the Jihad – My Life with Al Qaeda Moje življenje v Al Kaidi – Zgodba iz prve roke Prevod Tone Perčič ISBN 978-961-02-0031-4 © za Slovenijo DZS, d. d., 2008 Izdala in založila: DZS, založništvo in trgovina, d. d."",""O začetku postopka revizije mora revizijski organ takoj obvestiti podjetje in Agencijo, ki do zaključka revizijskega postopka ne sme izdati soglasja h programu preoblikovanja po 19. členu tega zakona in ne soglasja k preoblikovanju po 20. členu tega zakona."",F,6,8";;;;;;;;
"izdati,""J. res ne upa izdati vseh tistih državnih skrivnosti, da bi opral svoje ime? quote]"",""Prevzemna družba mora imetnikom zamenljivih obveznic, dividendnih obveznic in imetnikom potrdil o posebnih dividendnih pravicah, ki so jih izdale prevzete družbe, zagotoviti enake pravice, kot jih je zagotavljala prevzeta družba."",F,3,8";;;;;;;;
"izdati,""- posredovanje podatkov o pripustih Republiški selekcijski službi v konjereji, Inštitutu za rejo in zdravstveno varstvo kopitarjev (Mestni log 47, 1000 Ljubljana), ki je v skladu s predpisom o sprejetju kopitarjev za pleme izdala zootehniški dokument o priznavanju plemenskega žrebca, in pristojni veterinarski organizaciji."",""(2) Senat ustavi s sklepom postopek v primerih, v katerih izda sodišče po 2., 3. ali 4. točki 357. člena tega zakona sodbo, s katero obtožbo zavrne ali s katero obtoženca oprosti obtožbe (358. člen) kakor tudi, kadar spozna, da ne bi bilo smotrno izreči mladoletniku niti kazni niti vzgojnega ukrepa."",T,8,8";;;;;;;;
"lahko,""Do sedaj so znanstveniki le domnevali, da bi lahko v kraterjih okoli Luninih polov obstajal led, sedaj pa so odkrili kar vodo, morda še večje odkritje pa je, da ta še vedno nastaja."",""Pravzaprav niti ni mogla zagotovo vedeti, ali je bila res sestra lahko bi bil namreč tudi brat ampak zanjo je bila kratko in malo sestra, ki so jo neke noči v zgodnjih petdesetih letih proti materini volji iztrgali iz njenega trebuha."",T,2,2";;;;;;;;
"lahko,""Veliko popotniških informacij in namigov za obisk zanimivosti lahko najdemo v vodičih, kot so Lonely Planet, Rough Guide ali Blue Guide."",""Z ratifikacijo Konvencije o pravicah invalidov aprila 2008 je Slovenija jasno izkazala zavezo, da bo razvijala politike in predpise, na podlagi katerih bodo lahko invalidi dejansko enakopravno uveljavljali svoje človekove pravice in svoboščine."",T,4,4";;;;;;;;
"lahko,""Veseli nas, da lahko potrdimo tudi dva slovenska filma, magični intimni portret Nočni pogovori z Mojco Vlada Škafarja in Polka & klobase, ki ga je o slovenski polki v ZDA posnel še en (nekdanji) panker, Dušan Moravec."",""Pri ostalih je še potreben razvoj, pri čemer bi veljalo ta razvoj spodbuditi s strožjimi merili oziroma standardi";" veljavni NEDC testni cikel bi bilo treba namreč razširiti z bolj življenjskimi, na vozniškem vsakdanu temelječimi merili, saj lahko pride do velikih razlik pri merjenju čistosti izpušnih plinov."",F,4,1";;;;;;;
"lahko,""Nekatere oblike neprimernega vedenja lahko uredimo hitro in mirno, na primer s telesno bližino (če se preprosto približate), z ne-pretečim pogledom ali s humorjem."",""Pričakujejo, tudi od Slovenije, samo eno stvar - da jih Slovenija, kako bi rekel, lažje razume."",F,1,8";;;;;;;;
"lahko,""Končno lahko motnje vedenja vodijo do resnih psihičnih obolenj, v najslabšem primeru do delinkvence in bolezni odvisnosti."",""Opoldan, če je vreme sončno, lahko prostor za nekaj minut tudi prezračimo."",F,1,4";;;;;;;;
"lahko,""PREDNOST PRIKAZOVANJA Z GRAFIKONOM JE, DA JE POSREDOVANA INFORMACIJA BOLJ NAZORNA IN LAŽJE PREDSTAVLJIVA."",""Čeprav ste zadovoljni z obliko in oblinami svojega telesa, vam lahko drobne podrobnosti, kot so recimo drobne razširjene žilice na stegnih, na kolenu ali pod njim ali pa trdovratna poraščenost, zagrenijo misel na kratka poletna oblačila."",F,5,1";;;;;;;;
"lahko,""Lahko se je zgodilo, da sta bila v njem hkrati po dva otroka."",""Zakoni vesolja so vedenja, s katerimi uskladimo telo in duha ter preidemo v stanje, ko lahko dosežemo vse, kar si želimo."",F,6,8";;;;;;;;
"sam,""hahaha marca dej pojejte se, zame sodi Skomina v sam vrh sodnikov"",""Zato bom jaz seveda glasoval za amandma, čeprav bi se mogoče dalo rešiti tudi na ta način, da bi se za sam sklad posebej zagotovila sredstva."",F,5,7";;;;;;;;
"sam,""Za preprečevanje in ugotavljanje kožnega raka je izjemnega pomena ozaveščenost prebivalstva, saj lahko ob primernem znanju vsak sam enkrat na mesec pregleda svoja kožna znamenja in se napoti k zdravniku, če opazi kakršno koli sumljivo spremembo."",""V tujini nas vidijo precej bolje, kot se vidimo mi sami."",F,3,7";;;;;;;;
"sam,""Rekel sem mu, da bi precej raje videl, če bi mi to sama povedala."",BOUTIQUE PRESS Hudo pa me je s svojo izpovedno pesmijo (besedilo je napisala sama!) razočarala Rebeka Dremelj.,T,3,3";;;;;;;;
"sam,""K tem razmišljanjem pa je dodal pripombo še urednik (Novice so mu namreč očitale, da tako ali tako vse članke le povzema iz drugih nemških časnikov), da bo »koščku papirja imenovanem 'Novice' odgovoril tudi sam«3."",""Ker ste nekaj naključno izbranih fotografij vsak mesec lahko občudovali tudi sami, dragi bralci, si najbrž lahko predstavljate, da delo ni bilo lahko."",T,3,3";;;;;;;;
"sam,""Zaradi nenehnih nasprotij v zahtevah glasov je počasi dognal, da so glasovi prav tako zmedeni kakor on sam."",Če trema ni premočna jo z razumevanjem sami lahko omilimo in delno odpravimo.,F,7,3";;;;;;;;
"sam,""Terezijina “mala pot” pa je, kot sama pravi, pot duhovnega otroštva, pot zaupanja in popolne vdanosti."",""Zato sem jim svetoval, naj plezajo na levo, sam pa se iz kljubovalnosti nisem hotel umakniti, dasi bi bil to še lahko storil."",F,7,2";;;;;;;;
"sam,""Je pa dejstvo in kot eden od teh, ki so doživeli rubež na domu , napišem, da si ej vsak sam kriv če pride rubežnik na dom."",""Če pa ne poznaš samega sebe in svoje kulture, potem sprejemaš drugo kulturo zelo nekritično in eksotično ali pa ji nasprotuješ."",F,1,2";;;;;;;;
"star,""Natočil sem si rumeno pijačo, po okusu podobno vinu ni bila slaba, imela je okus po stari rozoliji, zagotovo pa je bila alkoholna."",""S spodbudo svoje žene se odloči, da se bo s svojim starim motorjem znamke mammuth, po katerem je tudi dobil svoj nadimek, odpravil v kraje svoje mladosti, do obratov, kjer je bil zaposlen, in tako zbral manjkajoče papirje, ki mu bodo omogočili mirna upokojenska leta."",T,6,6";;;;;;;;
"star,""Sama sem bila med staro šaro in pajčevinami in nisem več slišala sester, niti njihovega oddaljenega mrmranja."",""A vendar je treba priznati, da Singapur svojim obiskovalcem ponuja zavidljivo mešanico azijskih kultur, čeprav mnogokrat na instanten način, a se ravno zaradi tega tudi starejšim, manj avanturističnim ali bolj občutljivim popotnikom ni treba bati nikakršnega kulturnega šoka."",T,6,6";;;;;;;;
"star,""»Ti si najstarejši, zato boš ti tisti, ki mu bom nekaj naročila, mi lahko obljubiš, da boš naročilo izpolnil?«"",""To je stara teza italijanskih desničarskih in protislovenskih elementov na krajevni, deželni pa tudi na državni ravni."",F,6,4";;;;;;;;
"star,""Uporabniki teh prevozov so predvsem starejše osebe in v poletnih mesecih otroci, ki v času poletnih počitnic prihajajo na sevniški bazen ali pa so udeleženci košarkarskega kampa, ki je bil v lanskem letu dobro sprejet in lepo obiskan."",""Med najstarejše vodnjake štejemo koprske, kot so na Trgu Brolo (kapitelske oblike) iz 15. stoletja."",F,6,4";;;;;;;;
"star,""V Zgornjih Bitnjah je v neposredni bližini avtobusnega postajališča z njene desne strani z dovoza do stanovanjske hiše nenadoma na vozišče pripeljal starejši kolesar, ki svoje namere ni nakazal."",""Na stare prehranjevalne tračnice se je potrebno vračati zaradi metabolizma, ki lahko postane leno, in bo učinek ravno nasproten."",F,6,2";;;;;;;;
"star,""Ko se starejša oseba odloči za učenje, ji je to ponavadi v veselje, izziv in že zaradi tega drugače pristopi."",""Tako je Petrova domačija ostala prav takšna, kot je bila nekoč";" še vedno je pokrita z več kot sto let starimi, povsem ročno narejenimi skodlami, v največji izbi pa stoji stara bela peč, morda še edina v vsej Trenti, ob kateri je nekoč, že davno, ob zimskih dnevih stal kolovrat, na katerem so predli domačo volno."",F,6,4";;;;;;;
"star,""Slabše se je izšlo za mlado ekipo Sloge iz Občin pri Trstu, ki je po treh polfinalnih tekmah za napredovanje v B-2 ligo morala priznati premoč starejši in predvsem izkušenejši ekipi Vivil iz Vile Vicentine."",Slednji pa je za 61 let starejši od najmlajšega Roka Ropreta iz Trboj.,T,6,6";;;;;;;;
"stran,""»Le majhen članek na lokalni strani časopisa,« je precej jezno rekel."",Katere storitve so vidne na prvi strani ob vstopu v spletno banko Abanet?,F,7,8";;;;;;;;
"stran,""Če si lahko povsem odkrita z njim, potem to pomeni, da ne čutiš nikakšne nadvlade z njegove strani in da se ne počutiš, kot da on odloča o tvojem notranjem življenju."",""Zmanjšanje števila članov senata v KDS je posledica zahtev po racionalizaciji odločanja v teh sporih, po drugi strani pa ureditev, ko je v KDS na prvi stopnji odločal senat petih sodnikov, na drugi stopnji pa senat treh (sicer poklicnih) sodnikov, pravno sistemsko ni sprejemljiva."",F,1,4";;;;;;;;
"stran,""Informacije o tem, kaj smete in česa ne smete uvažati v posamezno državo oziroma izvažati iz nje, lahko dobite tudi na uradnih turističnih ali carinskih straneh držav, kamor potujete."",""Svetujem ti, da se držiš čim dalj stran od njega, dragi moj Dennis."",F,9,3";;;;;;;;
"stran,""Ko sem končal, je bilo vse poscano, drek pa deloma not, deloma ne in Maja je vlekla Simona stran, ker je hotel gledat."",""V polje, ki omogoča vnos 35 znakov, vnesite poljubno besedilo, ki bo ob vsakem vstopu v NLB Klik prikazano na vaši vstopni strani, poleg vašega imena in priimka."",F,1,9";;;;;;;;
"stran,""Atlas Vzhodna jadranska obala, otoki in zaledje je obsežna (280 strani) publikacija in prvi tovrstni atlas, ki se ne omejuje v državne meje."",""Tukaj se pojavi protislovje, saj je v ZDA po eni strani največ medijev na svetu, če upoštevamo tiskane publikacije ali internet, toda ameriške televizijske mreže upravljajo predvsem FOX, Murdock ter NBC, ki so zelo konzervativne korporacije."",F,7,4";;;;;;;;
"stran,""Znak plus v zgornjem ročaju za obsekovanje okoli besedila v drugem stolpcu druge strani pomeni, da je to besedilo nadaljevanje besedila iz prejšnjega bloka."",""Samo na zahodni strani je osreška planja z asfaltirano cestico po ozkem slemenu povezana s Sv. Vidom, sicer pa se na vse strani z Osredka spuščajo zelo strma, z gostim gozdom porasla in povsem brezpotna pobočja."",F,7,8";;;;;;;;
"stran,""4. aprila 2001 je Turistično sko skupnostjo in društvi na društvo Kobarid v sodelova- italijanski strani. nju s Fundacijo “Poti miru v Predstavi nam poveljniška Posočju” začelo s čiščenjem in opazovalna mesta, mitrain obnavljanjem muzeja na lješke in topniške položaje, prostem Kolovrat."",Spodaj na zunanji strani dna se slabo vidi vrezan znak x - morda iz Bele Krajine.,T,8,8";;;;;;;;
"lahek,""Sorta ni primerna za lahka, peščena tla, saj v stresnih razmerah močno izrašča in ponovno formira gomolje."",""Komisija ni imela lahkega dela, saj so se nasadi precej razlikovali med seboj, kljub temu pa se je strinjala, da je bil najboljši v vseh pogledih nasad Vrtnarstva Antolin, d.o.o iz Dorfarij."",F,5,2";;;;;;;;
"lahek,""Njeni gladilni voski z nežno in lahko teksturo olajšajo nanos, površinski aktivni agent poskrbi za enakomerno razporeditev barve do konic, palmino in jojobino olje pa trepalnice zaščitita in učvrstita."",""Večplastna zgodba, pisana v stilu sledenja toku zavesti, ni lahko branje in jo priporočamo predvsem pozornim bralcem, ki iščejo več in uživajo v vragolijah nepredvidljivega literarnega stila."",F,5,1";;;;;;;;
"lahek,S konico jezika drsite gor in dol po perineju s peresno lahkim pritiskom.,""Nedavno je naka mlada mamica rodila na ta način, in njena mati mi je povedala, da je bil porod lahek in da je potekal povsem brez zapletov, da so popadki trajali zelo kratek čas ter da je bil dojenček videti neizmerno srečen."",F,6,2";;;;;;;;
"lahek,""Sistem UMTS, tretjo generacijo mobilnih telekomunikacij, so razvili, da bi uporabniku zagotovili majhen, lahek, standarden žepni komunikator, ki bi nudil storitve kjerkoli in kadarkoli."",""Za lažjo nošnjo nahrbtnika potrebujemo široke naramnice in ogrodje, ki naj ne bo širše od naših bokov."",F,9,1";;;;;;;;
"lahek,""V želji, da bi posameznikom pomagali do učinkovitejše in celovitejše predstavitve svojih znanj in sposobnosti, delodajalcem pa omogočili lažji pregled nad kandidati, je bila na evropski ravni sprejeta odločba o enotnem ogrodju za transparentnost kvalifikacij in kompetenc – europass. gre za sklop dokumentov, ki omogočajo pregleden zapis znanj in izkušenj, ki jih je posameznik pridobil med izobraževanjem, z različnimi delovnimi izkušnjami ali v vsakdanjem življenju."",""Poleg vodika in helija, je metan precej uporaben vzgonski plin, saj je lažji od zraka."",F,1,9";;;;;;;;
